PdfType: replica
Format: lhagrid1
---
1.00000E-07 1.58489E-07 2.51189E-07 3.98107E-07 6.30957E-07 1.00000E-06 1.58489E-06 2.51189E-06 3.98107E-06 6.30957E-06 1.00000E-05 1.58489E-05 2.51189E-05 3.98107E-05 6.30957E-05 1.00000E-04 1.58489E-04 2.51189E-04 3.98107E-04 6.30957E-04 1.00000E-03 1.58489E-03 2.51189E-03 3.98107E-03 6.30957E-03 1.00000E-02 1.25893E-02 1.58489E-02 1.99526E-02 2.51189E-02 3.16228E-02 3.98107E-02 5.01187E-02 6.30957E-02 7.94328E-02 1.00000E-01 1.25900E-01 1.58500E-01 1.99500E-01 2.51200E-01 3.16200E-01 3.98100E-01 5.01200E-01 6.31000E-01 7.94300E-01 1.00000E+00
1.00000E+00 1.09854E+00 1.20679E+00 1.32571E+00 1.45635E+00 1.59986E+00 1.75751E+00 1.93070E+00 2.12095E+00 2.32995E+00 2.55955E+00 2.81177E+00 3.08884E+00 3.39322E+00 3.72759E+00 4.09492E+00 4.49843E+00 4.94171E+00 5.42868E+00 5.96362E+00 6.55129E+00 7.19686E+00 7.90604E+00 8.68511E+00 9.54095E+00 1.04811E+01 1.15140E+01 1.26486E+01 1.38950E+01 1.52642E+01 1.67683E+01 1.84207E+01 2.02359E+01 2.22300E+01 2.44205E+01 2.68270E+01 2.94705E+01 3.23746E+01 3.55648E+01 3.90694E+01 4.29193E+01 4.71487E+01 5.17947E+01 5.68987E+01 6.25055E+01 6.86649E+01 7.54312E+01 8.28643E+01 9.10298E+01 1.00000E+02
-5 -4 -3 -2 -1 0 1 2 3 4 5
0.00000E+00 0.00000E+00 -4.58144E-02 1.33843E+00 1.34469E+00 -1.38062E+00 1.33843E+00 1.34511E+00 -4.58136E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -4.46528E-02 1.20525E+00 1.21187E+00 -1.30136E+00 1.20531E+00 1.21257E+00 -4.46505E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -4.36374E-02 1.08468E+00 1.09167E+00 -1.23071E+00 1.08480E+00 1.09269E+00 -4.36352E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -4.27257E-02 9.75514E-01 9.82898E-01 -1.16781E+00 9.75678E-01 9.84257E-01 -4.27243E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -4.18709E-02 8.76675E-01 8.84460E-01 -1.11181E+00 8.76886E-01 8.86223E-01 -4.18704E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -4.10204E-02 7.87193E-01 7.95381E-01 -1.06185E+00 7.87471E-01 7.97660E-01 -4.10206E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -4.01133E-02 7.06199E-01 7.14783E-01 -1.01695E+00 7.06586E-01 7.17749E-01 -4.01139E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -3.90778E-02 6.32923E-01 6.41881E-01 -9.75948E-01 6.33492E-01 6.45780E-01 -3.90786E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -3.78276E-02 5.66684E-01 5.75972E-01 -9.37275E-01 5.67539E-01 5.81132E-01 -3.78282E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -3.62567E-02 5.06885E-01 5.16427E-01 -8.98785E-01 5.08186E-01 5.23286E-01 -3.62572E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -3.42338E-02 4.53013E-01 4.62692E-01 -8.57432E-01 4.54995E-01 4.71825E-01 -3.42343E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -3.15926E-02 4.04635E-01 4.14271E-01 -8.08890E-01 4.07646E-01 4.26440E-01 -3.15931E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -2.81192E-02 3.61400E-01 3.70733E-01 -7.47071E-01 3.65959E-01 3.86952E-01 -2.81199E-02 0.00000E+00 0.00000E+00
0.00000E+00 0.00000E+00 -2.35341E-02 3.23034E-01 3.31700E-01 -6.63589E-01 3.29912E-01 3.53324E-01 -2.35351E-02 0.00000E+00 0.00000E+00
